,Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
15872,250 000,"2947, rue Maizières",Longueuil (Vieux-Longueuil),3,1+1,1096,5274
15873,349 000,"41, rue de la Rive",Pont-Rouge,3,2,689,6600
15874,249 900,"73-4485, boulevard Dagenais Ouest",Fabreville,2,1+1,1291,704
15875,225 000,"413, rue Grammond",Rivière-Rouge (Ste-Véronique),3,1+1,1320,39869
15876,349 999,"122, chemin des Bouleaux",Luskville,3,3,2700,30230
15878,359 000,"1499, rue de la Voie Lactée",Prévost,2,1+1,1848,26717
15879,199 000,"8, rue Jean-J.-Crête",Grandes-Piles,2,1+1,1848,46500
15880,195 000,"427, rue Yves-Carbonneau",St-Romuald,2,1,1200,3272
15881,185 000,"16, chemin du lac Rémi",Lamarche,1,1+1,1056,19202
15882,300 000,"2080, rue du Terroir",Sherbrooke (Fleurimont),3,1+1,1152,16864
15883,229 000,"83, rue Principale",La Tuque (Lac-Édouard),3,2,772,49470
15884,364 000,"928, rue des Raffineurs",Chicoutimi (Chicoutimi),4,2+1,1566,10171
15885,198 000,"1994, rue Alpine",Ste-Agathe-Des-Monts,2,1+1,1308,20000
15886,219 900,"48, boulevard des Érables",Drummondville (Drummondville),3,1+1,1073,5000
15887,185 000,"16, chemin du Quai",Ile d'Orléans (St-Francois),2,1,660,10000
15888,719 000,"4455, avenue Rosedale",Côte-des-Neiges / Notre-Dame-de-Grâce,5,2,1564,2314
15889,849 000,"4370, route Marie-Victorin",Varennes,2,3+1,2000,48632
15890,330 000,"132, chemin du Contour-du-Lac-à-Beauce",La Tuque,3,2+1,1700,61418
15891,50 000,"2034, chemin des Perdrioles",Ste-Agathe-Des-Monts,3,2+1,1700,48515
15892,450 000,"320, rue la Montagne",Carleton-sur-Mer,4,23,2720,136500
15893,194 900,"103-5700, place Trenet",Auteuil,2,1,1009,25887
15894,630 000,"217, chemin Picard",Shefford,5,2+1,2200,65340
15896,329 000,"410, rue Dufferin",Salaberry-De-Valleyfield,2,2,1000,11500
15897,170 000,"50, rue Charles-Julien",Pont-Rouge,3,1,780,5575
15898,175 000,"205, rue Angers",Sorel-Tracy,3,2,1000,8250
15899,257 000,"17, chemin de la Rouge",Arundel,4,1+1,1996,20000
15900,169 900,"2006, avenue de la Famille",Ste-Foy,2,1+1,1157,2339
15901,279 900,"2331, rue Saint-Jean-Baptiste",St-Romuald,3,2,1157,3815
15902,425 000,"4249, boulevard des Cimes",Montchatel,3,2+1,1400,6200
15903,320 000,"388, rue des Hirondelles",Chicoutimi (Chicoutimi),5,2+1,1400,8033
15904,264 900,"880, rue des Draveurs",Chicoutimi (Chicoutimi),5,3,1102,4388
15905,220 000,"502-520, rue de la Salle",Saint-Roch,1,1,615,234
15906,359 000,"1365, rue des Aigues-Marines",Lévis,4,2+1,1772,7678
15907,150 000,"246, rue Sauvé",Gatineau (Buckingham),2,1+1,616,3500
15908,199 900,"2-40, rue de l'Émerald",Gatineau (Aylmer),2,1,1200,19084
15909,319 000,"3521, rue Brochu",Terrebonne (La Plaine),4,1+1,1895,10000
15910,204 500,"1945, rue Joseph-Laurin",Ste-Foy,2,1+1,1120,10000
15911,"149 999,99","3-157, rue Fernand-Arvisais Est",Gatineau (Gatineau),3,1,1100,1520004
15912,429 900,"124, rue Michel",St-Alphonse-de-Granby,7,5,1100,32292
15913,585 000,"530, montée Saint-Amour",Gatineau (Gatineau),4,2+1,1696,230384
15914,329 000,"4857, chemin du Petit Gard",Rivière-Rouge (Ste-Véronique),2,2+1,1408,2580000
15915,64 900,"13A20, Lot 13",Gore,2,2+1,1408,85389
15916,139 000,"Terrain 19, rue du Parcours",St-Jérôme (Bellefeuille),2,2+1,1408,56796
15917,339 000,"439, montée de l'Église",St-Colomban,3,2,1408,43000
15919,270 000,"1237, rue de Vimy",Chicoutimi (Chicoutimi-Nord),4,2,1184,15180
15921,184 000,"1-843, boulevard de la Cité",Gatineau (Gatineau),2,1,1032,6440
15922,216 900,"8215, boulevard Guillaume-Couture",Lévis,3,1,696,9750
15923,250 000,"1871, 8e Avenue",La Baie,5,2,1922,6250
15924,269 000,"135, 2e Rang",St-Louis-de-Blandford,4,3+1,2500,55500
15925,355 000,"620, avenue des Émeraudes",Ste-Marie,5,2+2,1450,10200
15926,70 000,"155, chemin des Aigles",Nominingue,5,2+2,1450,41602
15928,200 000,"1781, rue Moissan",Jonquière (Arvida),3,2,1296,6450
15929,178 000,"201-16285, rue Eugénie-Tessier",Pointe-Aux-Trembles / Montréal-Est,2,1,915,8561
15930,649 900,"142, le Grand Boulevard Est",St-Bruno-De-Montarville,5,3+1,2436,10592
15931,324 900,"188, rue Latouche",Beauport,2,1+2,1200,2030
15932,600 000,"137, chemin Johnston",Martinville,5,1+1,788,4660920
15933,127 500,"129, rue Saint-Louis",Amherst,2,1+1,1139,5124
15934,335 000,"218, montée Sanche",Rosemère,3,2,2000,7500
15935,258 000,"85, rue Legault",St-Polycarpe,2,1+1,1507,10115
15936,195 000,"135, rue Principale",St-André-De-Kamouraska,2,1+2,1800,14634
15937,269 500,"149, rue Sinclair",Repentigny (Repentigny),4,1+1,1100,5037
15939,345 000,"510, place de Chambord",Mascouche,4,1+1,1734,5831
15940,499 999,"104-1290, Rue du Phare",Fabreville,3,2,1620,12770
15941,295 000,"1850, boulevard des Seigneurs",Terrebonne (Terrebonne),3,2,1024,5250
15943,238 000,"413, Route 132",Port-Daniel,4,2,2500,105648
15944,269 000,"393, rue de la Montagne",Labelle,4,1+1,1700,48656
15945,439 000,"336, rue du Val-des-Arbres",Sherbrooke (St-Élie-d'Orford),4,2,1736,36000
15946,799 000,"179, chemin du Lac Clair",Ste-Christine-D'Auvergne,3,2,2096,52689
15947,225 000,"481, rue P. Labine",Gatineau (Gatineau),4,2+1,1320,3355
15948,409 000,"5640, chemin du Curé-Barrette",Terrebonne (La Plaine),4,2,1700,43934
15949,"1,50","1100, chemin de l'Achigan Est",Ste-Sophie,4,2,1700,33300
15951,169 900,"645, boulevard Barrette",Chicoutimi (Chicoutimi),3,2,919,6499
15952,197 000,"4-7389, rue Jacqueline-Auriol",Ste-Foy,3,1,1325,13718
15953,450 000,"43, rue de la Picardi",Blainville,4,1+1,1175,6773
15954,399 000,"50, rue Charles-Guillaume",Rimouski (Ste-Odile-Sur-Rimouski),4,2,3175,60000
15955,550 000,"1418, rue Principale",St-Blaise-sur-Richelieu,6,2+2,3270,74732
15956,599 000,"22, rue des Saules",Austin,3,2+1,2500,58953
15957,509 000,"26, chemin des Ramures",Lac-Beauport,4,2+1,1576,9483
15958,325 000,"583, route Henderson",St-Malachie,4,2+1,1576,36553
15959,285 000,"1150-1152, rue de la Durance",Charlesbourg,6,2,1367,8000
15960,229 000,"1531, rue Saint-Pascal",La Baie,4,2,1064,6588
15961,224 900,"4125, rue Saint-Georges",Lévis,3,1+1,1084,5600
15962,209 000,"10, rue du Camping",Labelle,5,3,1084,13624
15963,299 900,"130, rue du Bel-Air",Chicoutimi (Laterrière),4,2,1064,25000
15964,310 000,"1202, avenue de la Montagne",Shawinigan (Shawinigan),4,1+1,2232,106567
15965,225 000,"1390, rue Léveillée Ouest",Alma,3,1+1,1190,13000
15966,389 000,"859, rue Saint-Vincent",St-Jérôme (Bellefeuille),4,2+1,1840,22410
15967,299 000,"1839, rue Bienvenue",Sherbrooke (Fleurimont),3,2,2156,37745
15968,360 000,"40, place Bertrand",L'Assomption,3,1+1,2704,10089
15969,549 900,"17300, rue du Grenat",Mirabel (Mirabel en Haut),4,2+1,2704,17200
15970,260 000,"2200, 27e Avenue",Drummondville (Drummondville),3,1+1,896,5035
15971,729 000,"189, chemin du Rubis",Val-Des-Monts,5,3,2000,78727
15972,294 900,"121, 30e Avenue",Asbestos,3,2,2250,12800
15973,545 000,"613, chemin des Patriotes",St-Charles-sur-Richelieu,3,2+1,1391,7967
15974,819 000,"7313, rue du Pont",Trois-Rivières (Trois-Rivières-Ouest),3,3+1,2408,11400
15975,165 900,"4931, rue de l'Escarpement",Val-Bélair,2,1,988,1252
15976,369 000,"850, boulevard du Docteur-Gervais",Mont-Tremblant (St-Jovite),2,2,1808,26055
15977,140 000,"61, avenue Laurier",Baie-Comeau,4,3,1549,8586
15978,349 000,"175, rue Fontaine",St-Denis-De-Brompton,4,2,1092,15000
15979,599 000,"120, chemin Rustique",Morin-Heights,4,2,1092,1524600
15980,349 900,"820, rue Notre-Dame Sud",Louiseville,14,4,1092,58584
15981,130 000,"232, 2e Avenue",Lac-Etchemin,2,2,1394,8280
15983,279 900,"9300, rue Jean-Paul Lemieux",Charlesbourg,3,2,760,6615
15984,550 000,"183, rue Jean-Bruchési",Boucherville,4,2,1173,7480
15985,254 000,"139, chemin de Saint-Dominique",St-Pie,2,1,1303,26429
15986,274 500,"39, rue Jean-de-Brebeuf",Lévis,2,1+1,1303,8280
15987,299 000,"13, rue Clark",Waterloo,4,1+1,2664,21418
15988,359 000,"2453, rue du Bataillon",Jonquière (Jonquière),4,2+1,1737,18261
15989,215 000,"135, rue Latouche",Beauport,2,1+1,1100,3125
15990,284 900,"404, rue des Orioles",St-Amable,3,1+1,1452,3623
15991,394 000,"1443, rue Choquette",Richelieu,4,2+1,1680,6868
15992,179 500,"417, Grande-Allée Ouest",Grande-Riviere,2,2,1680,29198
15993,310 000,"313, rue du Potier",St-Augustin-De-Desmaures,3,1+1,1231,6221
15994,299 000,"400, chemin Flynn",St-Sauveur,2,2,1792,24857
15995,95 000,"200, avenue Centrale Nord",Stratford,2,2,1792,16027
15996,126 000,"409-1140, rue de l'Aigue-Marine",Charlesbourg,1,1,1147,1147
15997,227 500,"115, rue Jules-Crevier",Granby,3,2+1,1340,9200
15998,415 000,"158, chemin de la Reine",St-Colomban,3,2+1,1988,32369
15999,299 000,"777-787, rue Sainte-Angèle",Trois-Rivières (Trois-Rivières),3,1,960,4065
16000,499 000,"434, rue du Brome",St-Augustin-De-Desmaures,3,2+1,1464,18561
16001,264 999,"609, place Soulanges",Brossard,3,2+1,1560,775
16002,369 000,"281, chemin de la Rivière",Rivière-Beaudette,4,2+1,1792,15972
16003,175 000,"146, rue Principale",Lac-Bouchette,3,2,1220,17238
16004,294 000,"189, rue de Springfield",Longueuil (Greenfield Park),4,1,1800,7750
16005,750 000,"1594, route Lagueux",St-Nicolas,5,1+2,1800,388054
16006,389 900,"11755, avenue Pelletier",Montréal-Nord,3,2,1326,8181
16007,329 000,"1102-600, boulevard de la Gare",Mont-St-Hilaire,3,1,1156,17328
16008,165 000,"229, 1re Avenue",Lac-Etchemin,2,1,1076,28000
16009,Prix sur demande,"11630-32, 18e Avenue",St-Georges,16,4,1076,11105
16010,185 750,"2915, rue des Harfangs",Drummondville (Drummondville),3,1,1320,6000
16011,684 000,"169, chemin de la Rabastalière Ouest",St-Bruno-De-Montarville,3,2,2635,43679
16012,299 000,"1239, chemin du Lac-Renaud",Prévost,4,2+1,1221,14059
16013,600 000,"194, rue des Scouts",Gatineau (Aylmer),5,2+2,2115,4925
16014,324 900,"2104, rue de Marillac",Sillery,5,2+2,2115,3274
16015,421 000,"808, rue des Cheminots",Mont-St-Hilaire,3,1+1,1529,5823
16016,249 900,"8-9680, avenue Péloquin",Ahuntsic / Cartierville,1,1,635,7781
16017,393 500,"1072, avenue de Châteaubriant",Mascouche,4,2+1,2152,6136
16018,239 000,"209, chemin Hayes",Val-Des-Bois,2,1+1,936,54450
16019,369 900,"129, rue du Marchand",Gatineau (Aylmer),4,2+1,1819,6000
16020,105 000,"10, chemin des Laurentides",Pontiac,4,2+1,1819,55076
16021,439 000,"23, rue du Péridot",Boischatel,4,2+1,1700,7400
16022,259 900,"37, rue de l'Église",Chambly,3,2+1,1375,1160
16023,338 000,"149, rue Adolphe-Tremblay",Rimouski (Rimouski),4,1+1,1440,8288
16024,525 000,"815, boulevard de l'Assomption",Repentigny (Repentigny),4,3+1,3074,13800
16025,514 500,"9, rue Madeleine",St-Étienne-De-Beauharnois,8,3+1,3290,19667
16026,90 000,"101, rue Saint-Jean-Baptiste",L'Anse-St-Jean,2,1,550,9000
16027,525 000,"838, rue de Bellevue",Ste-Foy,2,1,550,10924
16028,749 000,"4126, rue de l'Orchidée",St-Bruno-De-Montarville,4,3+1,2392,7198
16029,240 000,"140, rue Principale",St-Léonard-D'Aston,4,1,2392,7971
16030,299 900,"92, chemin de Chambord",Gatineau (Gatineau),4,2+1,1400,8619
16031,140 000,"1629, chemin Lobel",Wentworth-Nord,3,1,1490,29695
16032,245 000,"582, rue du Conseil",Sherbrooke (Fleurimont),3,1,1490,4972
16033,355 900,"47, rue du Sahara",Gatineau (Gatineau),3,2,1211,11366
16034,245 000,"732-734, rue Gauthier",Mont-Tremblant (St-Jovite),4,1+1,1211,7500
16035,665 500,"3055, Route 148",Grenville-sur-la-Rouge,4,2+1,1500,54214
16036,255 000,"1857, rue Cartier",Longueuil (Vieux-Longueuil),3,1,1582,5104
16037,289 000,"1043, rue des Défibreurs",Chicoutimi (Chicoutimi),4,2+1,912,6000
16038,385 000,"408-274, rue du Parvis",Saint-Roch,2,1+1,1600,20000
16039,679 900,"307, chemin Spooner Pond",Cleveland,7,3,1600,11717640
16040,479 000,"2404, chemin de la Pointe Drummond",Magog,3,2+1,2160,43000
16041,159 900,"9, rue Coulonge",Fort-Coulonge,4,1,1435,6995
16042,168 000,"1921, boulevard de Grande-Grève",Gaspé,3,1+1,864,368556
16043,269 000,"6072, boulevard Talbot",Chicoutimi (Laterrière),4,2,1100,17514
16044,300 000,"6151, chemin du Portage-des-Roches Nord",Chicoutimi (Laterrière),4,2,1880,22730
16046,294 000,"247, rue du Grand-Hunier",Gatineau (Aylmer),3,1+1,1629,3680
16047,332 000,"27, rue Côté",St-Apollinaire,4,1+1,1480,14509
16048,349 000,"2, rue Lionel-Bélanger",Beauport,2,2,1208,6583
16049,194 000,"823, rue Notre-Dame",Champlain,4,1+1,1991,19138
16050,489 000,"26, rue du Ruisseau",Pont-Rouge,5,2+1,2616,10000
16051,228 340,"1370, rue Saint-Luc",L'Ancienne-Lorette,3,2+1,1008,2788
16052,349 000,"145, 14e rue Sartigan",St-Georges,3,2,1987,33014
16053,319 000,"1693, rue Jean-Casgrain",Chambly,2,1+1,1400,2500
16054,358 500,"546, rue Léger",Granby,3,2+2,1587,17172
16055,279 000,"580, rue Villeneuve",St-Honore-De-Chicoutimi,4,2+1,1080,9600
16056,500 000,"819-821, boulevard Curé-Labelle",Blainville,3,1,1080,6000
16057,249 995,"201, rue Laroche",Ste-Croix,4,2,1224,9000
16059,299 000,"2418, route du Président-Kennedy Sud",Ste-Marie,4,2,1416,20000
16060,79 500,"7145, chemin de la Coopérative",Alma,1,2+2,350,20000
16061,289 000,"610, 3e Rang Sud",St-Victor,3,1+1,624,62387
16062,225 000,"176, Route 116",Cleveland,4,2,1711,17325
16063,354 900,"20, rue des Orchidées",St-Jean-sur-Richelieu (St-Luc),3,2,1100,6659
16064,424 000,"295, chemin de la Rivière-des-Fèves Nord",St-Urbain-Premier,4,2+1,1100,229227
16065,275 000,"255, chemin Taché",Cantley,3,2,1192,14998
16066,124 900,"104, RUE Deschambault",St-Jérôme (St-Jérôme),2,1,900,10485
16067,475 000,"1100, rue Paul-Émile-Borduas",Lévis,3,2+1,1674,6500
16068,349 000,"22, chemin de la Station",Métis-Sur-Mer,10,5,1674,435600
16069,349 000,"258, rue Émile-Nelligan",Chicoutimi (Chicoutimi),5,2,1064,6325
16070,325 000,"839, route 343",Ste-Marcelline-De-Kildare,4,3+1,3226,46000
16071,214 900,"2187, rue Saint-Albert",Jonquière (Arvida),4,2,1200,10920
16072,289 500,"453, rue Racine",Loretteville,4,2,872,5080
16073,309 000,"4164, route Marie-Victorin",St-Antoine-De-Tilly,3,1+1,1592,15069
16074,344 800,"6465, rue Malouin",Charlesbourg,6,3+1,4520,6799
16075,280 000,"70, rue du Curé-Martineau",Repentigny (Repentigny),4,2,1100,6750
16076,179 900,"16, rue Frye Ouest",Windsor,3,2,1208,8714
16077,169 900,"2298, avenue Maufils",Limoilou,2,1,803,940
16078,895 000,"1031, Chemin Boréal",Ste-Agathe-Des-Monts,5,2,3514,44293
16079,339 000,"3040, rang Simple Nord",St-Félicien,2,1,1762,2662387
16080,499 900,"9410, boulevard  Lévesque Est",St-François,3,2+1,2488,21000
16081,199 999,"5, rue des Cheminots",Rivière-Du-Loup,3,2+1,1328,3619
16082,159 000,"80, rue Canusa",Stanstead,3,2+1,1328,1306800
16083,454 000,"1-2-3-4-868, rue de la Station",Prévost,10,4+2,1328,10919
16084,599 000,"131, rue Bellerive",Vaudreuil-Dorion,3,1+1,1328,40600
16085,163 500,"272, rue des Intendants",St-Romuald,2,1,949,4216
16086,264 000,"147, 3e Rang",St-Prime,2,1+1,3315,34229
16087,145 000,"93, avenue Charles-Guay",Baie-Comeau,5,2,950,6746
16088,395 000,"1008, rue Saint-Louis",Gatineau (Gatineau),6,6,950,20000
16089,399 000,"121, rue Pinsonnault",Cowansville,4,2,1635,31000
16090,215 000,"19, chemin des Érables",Stukely-Sud,4,1,1400,16684
16091,335 700,"1305, chemin Mondor",St-Damien,3,1+1,2196,117114
16092,221 500,"1041, rue du Beaujolais",St-Émile,4,1+1,1080,2000
16093,179 000,"87-89, rue Saint-Joseph",Salaberry-De-Valleyfield,3,2+1,1080,4187
16094,390 000,"288, rue des Hirondelles",Adstock,3,2,1056,13422
16095,"299 999,99","2401, chemin de la Batture-Saint-Paul",Chicoutimi (Laterrière),3,2+1,1368,52375
16096,424 900,"173, chemin Braun",Luskville,3,1+1,1725,43560
16097,320 000,"6601, rue de l'Hôtel-de-Ville",St-Honore-De-Chicoutimi,4,1+1,832,4601678
16098,469 900,"641, Boulevard des Hautes-Plaines",Gatineau (Hull),9,3,960,1554
16099,100 000,"114, chemin Jingletown",Kazabazua,9,3,960,6969600
16100,328 500,"943-945, rue Worthington",Sherbrooke (Mont-Bellevue),9,4,960,6487
16101,338 500,"101, boulevard de Normandie Nord",Farnham,4,2+1,2265,27026
16102,575 000,"373, route de Lotbinière",Vaudreuil-Dorion,2,1,990,44120
16103,221 900,"15773, boulevard de la Colline",Lac-St-Charles,2,1+1,672,5245
16104,320 000,"2140, rue Jacques-Héroux",Shawinigan (Shawinigan-Sud),4,1+1,1792,14833
16105,635 000,"355-357, boulevard des Sources",Dorval / L'Île Dorval,4,1+1,631,7999
16106,589 000,"1164, avenue des Diamants",Charlesbourg,4,2+2,2504,7349
16107,95 000,"491, route de la Mer",Ste-Flavie,3,2,1560,4050
16108,99 000,"1, rue des Pionniers",St-André-D'Argenteuil,3,2,1560,58457
16109,475 000,"3773, route des Rivières",St-Étienne-De-Lauzon,4,2+1,1819,39977
16110,259 000,"7112, chemin du Portage-des-Roches Nord",Chicoutimi (Laterrière),3,2,2100,42280
16111,175 000,"2674, rue des Alpes",Sherbrooke (Fleurimont),3,2+1,1223,3500
16112,282 500,"1654, Route 337",Ste-Julienne,3,2,1872,10000
16113,359 900,"11625, rue de l'Agate",Mirabel (Mirabel en Haut),4,1+1,1200,18114
16114,128 000,"1350, rue des Cèdres",Dolbeau-Mistassini,3,1,1200,5000
16115,699 000,"4, chemin des Cascades",St-Sauveur,3,3,3100,80587
16116,178 900,"102-27, rue du Domaine",Ste-Brigitte-De-Laval,3,1,1286,5390
16117,450 000,"445, rue Laforest",St-Alphonse-Rodriguez,4,2,1400,76050
16119,199 900,"9861, rue Fontaine",Mirabel (St-Canut),3,1+1,1479,40610
16120,227 000,"505-3410, chemin de Chambly",Longueuil (Vieux-Longueuil),3,1,1000,29808
16121,390 000,"117, avenue du Havre-des-Neiges",St-Sauveur,3,2+1,2000,10719
16122,329 900,"223, 19e Avenue Ouest",Venise-En-Quebec,3,2,1152,5909
16123,499 900,"37, chemin Lavigne",Luskville,4,1+1,2000,40569
16124,700 000,"6694, rue Claudel",Brossard,3,1+1,1200,2003
16125,864 000,"715, rue de la Rivière",Ste-Catherine-De-Hatley,4,2,2080,25920
16126,259 000,"655-657, rue la Salle",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),2,1,837,5000
16127,459 000,"1163, rue des Sources",St-Joseph-De-Beauce,3,4+1,1898,17853
16128,499 000,"2020-2022, rue Notre-Dame Centre",Trois-Rivières (Trois-Rivières),3,15,1898,8450
16130,298 500,"159, rue de la Grève",Trois-Pistoles,2,2,1614,8525
16131,179 999,"109-855, chemin Tiffin",Longueuil (Vieux-Longueuil),1,1,654,32905
16132,539 000,"8340, place Fonteneau",Mercier / Hochelaga / Maisonneuve,3,1+1,900,3645
16133,469 900,"6824, Route Marie-Victorin",Ste-Croix,4,2+1,2500,40000
16134,270 000,"689, chemin des Patriotes",St-Denis-sur-Richelieu,3,2,1385,7800
16135,429 000,"510-2910, rue Ontario Est",Ville-Marie (Centre-Ville et Vieux Mtl),2,1,1186,593
16136,349 000,"156, rue de Salernes",Gatineau (Gatineau),5,2,2004,7950
16138,300 000,"11, rue des Cimes",Château-Richer,3,2,1092,8238
16139,187 000,"51, rue des Rossignols",Venise-En-Quebec,2,1+1,1124,6500
16140,220 000,"226, rue Bonsecours",Massueville,5,2,2400,19541
16141,243 000,"527, rue Jeannine",Granby,3,1,1176,20101
16142,519 000,"1006, chemin Élie",Sutton,10,33,1176,877298
16143,275 000,"179, rue du Tournesol",Shefford,5,1+1,2008,75325
16144,129 000,"316, rue des Bois",St-Apollinaire,1,1,560,5624
16145,179 900,"1319, rue Gaston-Miron",Lévis,2,1,1036,2257
16146,444 900,"3460, rue Lareau",Carignan,3,2,2280,5000
16147,298 000,"6426, rue de Mercure",St-Émile,3,1+1,898,4843
16148,210 500,"197, rue des Braves",Rimouski (Rimouski),3,1+1,1696,6724
16149,479 990,"10391, montée Sainte-Marianne",Mirabel (Domaine-Vert Nord),5,2+1,1938,9929
16150,300 000,"5745, avenue d'Orléans",Rosemont / La Petite Patrie,2,1,1000,1550
16151,110 000,"305-1820, rue Martin",Nicolet,2,1,1058,3062
16152,299 000,"2395, 30e Avenue",Drummondville (Drummondville),3,2+1,2016,7000
16153,181 999,"211-800, boulevard Lebourgneuf",Lebourgneuf,2,1,1025,1179
16154,89 000,"7, rue Saint-Georges",Ste-Brigitte-De-Laval,2,1,1025,196689
16155,179 000,"202-1406, rue Esther-Blondin",Cap-Rouge,2,1+1,1375,1782
16156,179 000,"203-20080, boulevard Henri-Bourassa",Charlesbourg,2,1,874,15475
16157,183 000,"29, rue de l'Imprimerie",Victoriaville,3,2,962,6555
16158,469 000,"60, rue Hélène",Rouyn-Noranda,5,2+1,1952,11444
16159,315 000,"750, chemin de l'Achigan Ouest",Ste-Sophie,4,1+1,1952,28000
16160,709 000,"29, rue Sainte-Angèle",Vieux-Québec,3,2,1952,1625
16161,350 000,"1571, boulevard Sainte-Geneviève",Chicoutimi (Chicoutimi-Nord),4,2+1,1872,23580
16162,343 000,"2806, de la Corolle",Lac-St-Charles,4,1+1,1248,6430
16163,290 000,"81, rue de la Charente",Rimouski (Rimouski),5,2,1670,11701
16164,349 000,"7, rue Barré",Richelieu,3,2,1490,28785
16165,499 000,"2, montée Monette",St-Philippe,3,1+1,1800,21307
16166,425 000,"920, chemin de la Baie-des-Jean",Alma,3,2,1260,43055
16167,220 000,"165-167, 10e Avenue",St-Jean-sur-Richelieu (Iberville),2,1,1260,3000
16168,265 000,"1270, rang Sainte-Anne",Ste-Brigitte-Des-Saults,3,1+1,2602,70047
16169,179 900,"7181, rue du Daim",Charlesbourg,2,1,1099,2847
16171,269 000,"D-68, rue de la Vallée",St-Philémon,2,1+1,1580,12916
16172,310 000,"69, route 143",Canton-de-Hatley,4,2,2600,31388
16173,395 000,"110, rue de la Seigneurie",St-André-D'Argenteuil,4,3+1,2296,45000
16174,449 500,"941, rue Ouimet",Ste-Adèle,7,6+1,3000,8740
16175,289 900,"8, rue des Goélands",Beaupré,4,2,972,7500
16176,259 000,"7781, rue des Groseilles",Terrebonne (La Plaine),4,2+1,1316,6439
16177,275 000,"170, avenue Pierre-Laporte",Louiseville,4,2,2300,8840
16178,689 000,"13, rue de Côme",Blainville,5,2+1,2100,17160
16179,799 000,"6061-63, avenue des Angevins",Anjou,5,3+2,2672,3868
16180,595 000,"10, rue des Cèdres",La Malbaie,5,3+1,3840,240000
16181,389 000,"5841, rue Saguenay",Rouyn-Noranda,3,2,2500,2361192
16182,199 920,"65, rue de la Tourbe",St-Ferréol-les-Neiges,3,2,1100,5295
16183,327 000,"204, rue Jogues",Chicoutimi (Chicoutimi-Nord),4,2+1,1568,6936
16184,315 000,"1249, rue du Sieur-d'Argenteuil",Ste-Foy,2,1,1376,6500
16186,169 000,"910, boulevard Saint-Charles",Drummondville (St-Charles-De-Drummond),3,2,2477,7500
16187,339 000,"512, Boulevard René-Lévesque Ouest",Montcalm,5,1,2100,4300
16188,249 990,"2421, rue de Verdun",Sherbrooke (Mont-Bellevue),6,2,2100,5752
16189,499 000,"25, chemin du Lac Emmuraillé",St-David-de-Falardeau,3,2+1,1450,35800
16190,179 000,"530, Gérard-Monet",Shawinigan (Shawinigan-Sud),3,2+1,1450,8347
16191,369 000,"2585, rue Cedar",St-Lazare,5,2+1,1700,16527
16192,279 000,"1753, rue Rochon",Terrebonne (Lachenaie),3,2,940,5000
16193,254 900,"657, rue Saint-Germain Est",Rimouski (Rimouski-Est),3,2,1376,10089
16194,316 000,"508, rue Myriam",Charlesbourg,5,2,1040,6915
16195,235 000,"451, boulevard Taché Est",Montmagny,2,2+1,1266,7351
16196,135 000,"131, avenue Larouche",Alma,4,1+1,1485,7500
16197,203 000,"301-2143, rue Racine",Longueuil (St-Hubert),2,1+1,1079,1
16198,445 000,"650, avenue de Gaspé Ouest",St-Jean-Port-Joli,3,1+1,2000,175000
16199,315 000,"99, rue Ozias-Leduc",Drummondville (Drummondville),3,1+1,2200,11859
16200,309 000,"5239, rue Sainte-Thérèse",Contrecoeur,5,2,1932,9070
16201,159 000,"2-507, chemin McConnell",Gatineau (Aylmer),2,1,1932,2302
16202,210 000,"8-3020, rue Charles-Lacoste",Longueuil (St-Hubert),2,1,977,1574
16203,169 500,"51, rang Saint-Paul Ouest",Ste-Beatrix,3,1,1307,33600
16204,649 900,"2171, rue de Monte-Carlo",Vimont,5,3+1,3278,6404
16205,485 000,"4500, Côte de Terrebonne",Terrebonne (Terrebonne),3,2+1,1055,8150
16206,149 500,"203-81, rue Godue",Granby,2,1,947,23246
16207,149 000,"101-5260, boulevard Saint-Laurent",Ste-Catherine,2,1,861,10430
16208,172 000,"4-810, avenue des Jésuites",Saint-Sacrement,2,1,1000,7775
16209,549 000,"11940, rue Zotique-Racicot",Ahuntsic / Cartierville,4,2,2400,5750
16210,189 500,"37, rue Fontenelle",Gaspé,8,3+1,3024,11400
16211,220 000,"9, chemin du Lac-Roberge",Blue Sea,4,3,1560,57620
16213,227 000,"118, chemin des Cyprès",Ste-Anne-Des-Lacs,3,1,1141,20118
16214,22 000,"313, montée Archambault",St-Émile-De-Suffolk,3,1,1141,42072
16216,464 500,"1102, rue Émélie-Chamard",Ste-Foy,5,1+1,2040,6050
16217,169 500,"B-68, rue de la Vallée",St-Philémon,1,1,610,12916
16218,324 900,"101-7300, rue Saint-Zotique Est",Anjou,2,2+1,1225,1
16219,169 000,"80, route de la Plage-du-Sault",St-Pamphile,3,1+1,1344,22500
16220,387 100,"2491, 4e Rue",Ste-Sophie,4,1,1400,103232
16221,1 460 000,"800, côte de Terrebonne",Terrebonne (Terrebonne),5,4+1,1400,52620
16222,210 000,"28, rue des Rosiers",St-Étienne-De-Lauzon,5,2,1176,7500
16223,330 000,"218, rue George Slack",Granby,2,1,1176,8250
